AAPL US Equity,Quaterly EPS,Share Price,,NVDA US Equity,Quaterly EPS,Share Price,,MNST US Equity,Quaterly EPS,Share Price,,CELH US Equity,Quaterly EPS,Share Price,,RMS FP Equity,Quaterly EPS,Share Price,,P911 GR Equity,Quaterly EPS,Share Price,,GOOGL US Equity,Quaterly EPS,Share Price,,AMZN US Equity,Quaterly EPS,Share Price,,SMCI US Equity,Quaterly EPS,Share Price
4/1/2000,0.0129,1.024,,1/30/2000,0.001,0.0714,,3/31/2000,0.0007,0.047,,3/31/2007,-0.0667,8.2,,6/30/2000,0.5935,36.074,,9/30/2022,1.3052,79.004,,9/30/2004,0.0063,3.235,,3/31/2000,-0.045,3.35,,3/31/2007,0.18,8.99
7/1/2000,0.0111,0.79,,4/30/2000,0.0012,0.1703,,6/30/2000,0.0018,0.043,,6/30/2007,-0.0667,8.533,,12/31/2000,0.995,38.47,,12/31/2022,1.3897,91,,12/31/2004,0.0195,4.813,,6/30/2000,-0.0455,1.816,,6/30/2007,0.18,10.01
9/30/2000,0.0093,0.388,,7/30/2000,0.0015,0.2064,,9/30/2000,0.0015,0.057,,9/30/2007,-0.0667,3.633,,6/30/2001,0.8199,41.91,,3/31/2023,1.54,112.849,,3/31/2005,0.0347,4.506,,9/30/2000,-0.034,1.922,,9/30/2007,0.19,9.76
12/30/2000,-0.0104,0.224,,10/29/2000,0.0018,0.2341,,12/31/2000,0.0002,0.04,,12/31/2007,0.1333,1.033,,6/30/2002,0.869,41.527,,6/30/2023,1.49,110.309,,6/30/2005,0.0318,7.343,,12/31/2000,-0.0765,0.778,,12/31/2007,0.25,7.67
3/31/2001,0.0021,0.333,,1/28/2001,0.0019,0.1942,,3/31/2001,0.0003,0.035,,3/31/2008,-0.0667,0.733,,12/31/2002,1.091,34.177,,9/30/2023,1.2876,86.328,,9/30/2005,0.0347,7.9,,3/31/2001,-0.033,0.512,,3/31/2008,0.16,8.35
6/30/2001,0.003,0.351,,4/29/2001,0.0016,0.3019,,6/30/2001,0.0011,0.035,,6/30/2008,-0.0667,0.873,,6/30/2003,0.7626,32.319,,12/31/2023,1.3348,77.449,,12/31/2005,0.032,10.356,,6/30/2001,-0.0235,0.708,,6/30/2008,0.21,7.38
9/29/2001,0.0034,0.234,,7/29/2001,0.0019,0.3096,,9/30/2001,0.0014,0.036,,9/30/2008,-0.0667,0.387,,12/31/2003,1.2108,40.406,,3/31/2024,1.01,89.527,,3/31/2006,0.0505,9.735,,9/30/2001,-0.023,0.299,,9/30/2008,0.22,9.01
12/29/2001,0.002,0.338,,10/28/2001,0.0024,0.35,,12/31/2001,0.0003,0.044,,12/31/2008,-0.0667,0.28,,6/30/2004,0.863,43.682,,6/30/2024,0.8972,69.52,,6/30/2006,0.0598,10.468,,12/31/2001,0.0005,0.541,,12/31/2008,0.16,6.33
3/30/2002,0.002,0.357,,1/27/2002,0.0043,0.5004,,3/31/2002,0.0004,0.044,,3/31/2009,-0.0667,0.9,,12/31/2004,1.0833,39.077,,,,,,9/30/2006,0.0605,10.032,,3/31/2002,-0.003,0.715,,3/31/2009,0.04,4.92
6/29/2002,0.0016,0.267,,4/28/2002,0.0046,0.2321,,6/30/2002,0.0014,0.044,,6/30/2009,-0.0667,1.267,,6/30/2005,0.9967,44.922,,,,,,12/31/2006,0.084,11.495,,6/30/2002,-0.0125,0.813,,6/30/2009,0.07,7.66
